,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
888,3.5,1475.3,291.48,291.48,3911.1,8744.54,1183.82,3089.3
889,4.0,976.0,0.0,374.14,3904.0,1496.57,601.86,2407.43
890,20.0,1475.3,290.21,290.21,29506.0,5804.18,1185.09,23701.82
891,4.0,3053.25,844.23,844.23,12213.0,3376.92,2209.02,8836.08
892,2.0,155.0,62.82,62.82,310.0,125.64,92.18,184.36
893,4.0,1007.0,0.0,227.21,4028.0,908.84,779.79,3119.16
894,1.0,853.0,0.0,156.55,853.0,156.55,696.45,696.45
895,4.0,2359.7,338.22,338.22,9438.8,1352.89,2021.48,8085.91
896,1.0,1139.86,0.0,301.83,1139.86,301.83,838.03,838.03
897,4.0,720.0,82.15,82.15,2880.0,328.6,637.85,2551.4
898,3.0,2464.2,1135.53,1135.53,7392.6,3406.59,1328.67,3986.01
899,2.0,2068.5,1261.99,1261.99,4137.0,2523.98,806.51,1613.02
900,4.0,413.4,91.5,91.5,1653.6,366.02,321.9,1287.58
901,1.0,785.0,0.0,181.44,785.0,181.44,603.56,603.56
902,1.0,5909.84,0.0,1884.35,5909.84,1884.35,4025.49,4025.49
903,2.0,2235.9,0.0,628.8,4471.8,1257.6,1607.1,3214.2
904,12.0,1030.0,0.0,282.47,12360.0,3389.64,747.53,8970.36
905,2.0,435.0,0.0,82.37,870.0,164.74,352.63,705.26
906,1.0,5251.28,0.0,2121.33,5251.28,2121.33,3129.95,3129.95
907,3.5,1299.32,430.03,430.03,3911.1,12900.92,869.29,26078.68
908,1.0,1320.0,73.01,73.01,1320.0,73.01,1246.99,1246.99
909,1.0,483.54,72.97,72.97,483.54,72.97,410.58,410.58
910,1.0,155.0,72.37,72.37,155.0,72.37,82.63,82.63
911,5.0,490.0,0.0,150.77,2450.0,753.85,339.23,1696.15
912,4.0,307.0,32.38,32.38,1228.0,129.51,274.62,1098.49
913,1.0,661.2,31.14,31.14,661.2,31.14,630.06,630.06
914,2.0,1696.25,572.12,572.12,3392.5,1144.25,1124.13,2248.25
915,1.0,2290.12,917.05,917.05,2290.12,917.05,1373.07,1373.07
916,1.0,2278.45,469.69,469.69,2278.45,469.69,1808.76,1808.76
917,15.0,735.0,86.15,86.15,11025.0,1292.21,648.85,9732.79
