,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4392,1138901950523661637,20240905174946,9158235,3.0,8.0,52.362464135622,4.929374812273319,2.0,1.5,1.0,1.0,249.0,3.0,21,3.4,20.6,65.0,0.0,12,12,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4393,878154094734372622,20240905174946,41391685,1.0,1.0,52.3653473156504,4.939267755298973,2.0,1.0,1.0,1.0,190.0,3.0,365,4.0,365.0,65.0,0.0,0,36,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
4394,937572823155074203,20240905174946,55943955,1.0,1.0,52.36916670148938,4.90548725826488,2.0,1.0,1.0,1.0,201.0,1.0,30,1.0,30.0,65.0,11.0,57,232,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,1.0,1.0,0.0,0.0
4395,906516210947771273,20240905174946,302096660,1.0,1.0,52.35894889999999,4.8608481,4.0,1.0,1.0,2.0,200.0,1.0,365,1.0,365.0,65.0,0.0,0,86,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,1.0,1.0,0.0,0.0
4396,635970705895891795,20240905174946,53568111,1.0,1.0,52.367195,4.873289,2.0,1.0,1.0,1.0,279.0,3.0,365,3.0,365.0,65.0,3.0,46,57,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.33,1.0,1.0,0.0,0.0
4397,1120924569514144785,20240905174946,63841431,2.0,2.0,52.35878,4.89772,4.0,2.0,2.0,1.0,700.0,2.0,365,2.0,365.0,65.0,16.0,42,105,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,2.0,2.0,0.0,0.0
4398,946021179917130363,20240905174946,65931436,1.0,1.0,52.38698864680862,4.918551534325834,2.0,1.0,1.0,1.0,214.0,3.0,365,3.0,365.0,65.0,0.0,0,59,5.0,4.8,4.6,4.8,4.8,5.0,4.4,4.6,1.0,1.0,0.0,0.0
4399,7160841,20240905174946,3040748,12.0,16.0,52.40744,4.99579,4.0,1.0,1.0,4.0,74.0,2.0,1125,2.0,1125.0,65.0,13.0,35,193,92.0,4.64,4.7,4.73,4.87,4.64,4.65,4.59,9.0,1.0,0.3,0.0
4400,671411495555870083,20240905174946,10867286,1.0,2.0,52.3738176,4.8734613,4.0,1.5,3.0,3.0,500.0,3.0,30,3.0,30.0,65.0,5.0,25,32,15.0,4.93,4.93,4.93,5.0,5.0,4.8,4.53,1.0,1.0,0.0,0.0
4401,445660,20240905174946,2202945,1.0,3.0,52.37001,4.85646,3.0,1.0,2.0,3.0,75.0,3.0,30,3.0,1125.0,65.0,3.0,24,122,32.9,4.81,4.86,4.87,4.94,4.93,4.74,4.68,1.0,0.0,1.0,0.0
4402,44269819,20240905174946,6963534,2.0,3.0,52.39078,4.93578,2.0,1.0,1.0,1.0,159.0,3.0,7,3.0,1125.0,65.0,15.0,15,15,69.0,5.0,5.0,5.0,4.99,5.0,4.83,4.94,1.0,1.0,0.0,0.0
4403,580841436315293814,20240905174946,6889310,1.0,1.0,52.37187,4.92269,2.0,1.5,2.0,1.0,200.0,4.0,14,4.0,14.0,65.0,6.0,6,6,7.0,5.0,5.0,4.71,4.86,5.0,4.71,4.86,1.0,1.0,0.0,0.0
4404,1105523723027686183,20240905174946,148697142,1.0,1.0,52.35493142923804,4.921981617808342,2.0,1.0,1.0,1.0,245.0,2.0,25,2.0,25.0,65.0,4.0,4,4,3.0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,1.0,1.0,0.0,0.0
4405,1065133947403139150,20240905174946,555466758,6.0,6.0,52.3382545,4.920367,2.0,1.0,1.0,0.0,155.0,1.0,365,1.0,527.3,65.0,26.0,86,110,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,6.0,0.0,0.3,0.0
